timestamp,step,status,solve_time_s,mip_gap,objective_value
2025-07-01 00:00:00,0,optimal,0.31251180000253953,0.0036551187814828465,406955.3303505876
2025-07-01 00:15:00,1,optimal,0.3255438000196591,0.004248988596031488,411980.33369107026
2025-07-01 00:30:00,2,optimal,0.32099559999187477,0.004136589054652072,416682.7044246879
2025-07-01 00:45:00,3,optimal,0.3384119999827817,0.003932673939308947,421371.0984453427
2025-07-01 01:00:00,4,optimal,0.25881589998607524,0.004196640151740945,426390.26888263004
2025-07-01 01:15:00,5,optimal,0.287004399986472,0.0036178760788964,431151.88265266846
2025-07-01 01:30:00,6,optimal,0.263029199995799,0.0039029598492727672,436176.9359830926
2025-07-01 01:45:00,7,optimal,0.28941200001281686,0.0040061899716747305,441206.15113445604
2025-07-01 02:00:00,8,optimal,0.2960717999958433,0.0032962910355252744,445879.1010086985
2025-07-01 02:15:00,9,optimal,0.3067513999994844,0.003760407892480899,451072.78152700834
2025-07-01 02:30:00,10,optimal,0.2852880999853369,0.003456796028245782,455987.9835786373
2025-07-01 02:45:00,11,optimal,0.2824481000134256,0.003597368749052546,461120.49862392934
2025-07-01 03:00:00,12,optimal,0.36715669999830425,0.003867109497037057,466394.36544729926
2025-07-01 03:15:00,13,optimal,0.29091979999793693,0.0032500379512758583,471290.12109101063
2025-07-01 03:30:00,14,optimal,0.32895409999764524,0.004101762387384409,476833.95144801826
2025-07-01 03:45:00,15,optimal,0.3890260999905877,0.0035036778784727257,481665.498143926
2025-07-01 04:00:00,16,optimal,0.2890740000002552,0.004258567796372679,487142.267822611
2025-07-01 04:15:00,17,optimal,0.30583539998042397,0.00362354925469751,492157.30534233194
2025-07-01 04:30:00,18,optimal,0.30421689999639057,0.003752460509668578,497383.5309497548
2025-07-01 04:45:00,19,optimal,0.2922430000035092,0.003006968820007334,502561.86274489935
2025-07-01 05:00:00,20,optimal,0.2751836999959778,0.0030839223245250113,507906.148849234
2025-07-01 05:15:00,21,optimal,0.28397710001445375,0.0027732749567624696,513029.9251773872
2025-07-01 05:30:00,22,optimal,0.494741200003773,0.0039790344892115925,518931.71919277933
2025-07-01 05:45:00,23,optimal,0.3226151000126265,0.003892644378369947,523984.1004749337
2025-07-01 06:00:00,24,optimal,0.2888792000012472,0.0034985252580022734,529506.5291701469
2025-07-01 06:15:00,25,optimal,0.2705452000082005,0.0034810824814712235,534635.8576515508
2025-07-01 06:30:00,26,optimal,0.3232463000167627,0.003221693060575372,539635.1696199484
2025-07-01 06:45:00,27,optimal,0.2633812999993097,0.0024700413748520666,544382.7775566487
2025-07-01 07:00:00,28,optimal,0.2723497999832034,0.0036853759317405327,550141.5145553078
2025-07-01 07:15:00,29,optimal,0.2582741999940481,0.0024647562584041017,554686.8178282244
2025-07-01 07:30:00,30,optimal,0.2616926000046078,0.0035855839786247024,560405.8685022244
2025-07-01 07:45:00,31,optimal,0.2743755000119563,0.0024437081065400127,564811.1837526411
2025-07-01 08:00:00,32,optimal,0.26268409998738207,0.00219268523101999,569698.5655419531
2025-07-01 08:15:00,33,optimal,0.28193820000160486,0.002423420007869359,574904.3561089846
2025-07-01 08:30:00,34,optimal,0.2720423999999184,0.00295582843338921,580409.9947069774
2025-07-01 08:45:00,35,optimal,0.23251509998226538,0.0021360976122938285,584898.8139176362
2025-07-01 09:00:00,36,optimal,0.2544268000056036,0.002380919652036777,590132.9645394802
2025-07-01 09:15:00,37,optimal,0.28803629998583347,0.003160166655646483,595580.1817005456
2025-07-01 09:30:00,38,optimal,0.2842233999981545,0.002206218068489004,600240.6709699825
2025-07-01 09:45:00,39,optimal,0.296335299994098,0.0024225913627185527,605345.1973041184
2025-07-01 10:00:00,40,optimal,0.2721777000115253,0.0019306447015888994,609891.9876176036
2025-07-01 10:15:00,41,optimal,0.28826699999626726,0.002767901406285941,615372.596683552
2025-07-01 10:30:00,42,optimal,0.28664190002018586,0.001938754326279589,619783.6176660949
2025-07-01 10:45:00,43,optimal,0.28898829998797737,0.002986127439875117,625392.5529833921
2025-07-01 11:00:00,44,optimal,0.2770541000063531,0.002921577073202565,630262.8952751722
2025-07-01 11:15:00,45,optimal,0.23520510000525974,0.002737472260639614,635030.8981331731
2025-07-01 11:30:00,46,optimal,0.28305990001535974,0.0028370967832739074,639930.0080878283
2025-07-01 11:45:00,47,optimal,0.2534843999892473,0.003204067200760903,645280.9366910859
2025-07-01 12:00:00,48,optimal,0.27598269999725744,0.003414184605996097,650836.8838307832
2025-07-01 12:15:00,49,optimal,0.24606279999716207,0.003465986059793852,655796.9670798855
2025-07-01 12:30:00,50,optimal,0.30404980000457726,0.002222114695808449,659940.0889620009
2025-07-01 12:45:00,51,optimal,0.2551992000080645,0.003011784495326263,665321.1230806713
2025-07-01 13:00:00,52,optimal,0.2823875999893062,0.002042840842226554,669482.8374102963
2025-07-01 13:15:00,53,optimal,0.31422770000062883,0.002656132787101696,674734.1773817991
2025-07-01 13:30:00,54,optimal,0.22400600000401028,0.002185151259066708,679314.9852512281
2025-07-01 13:45:00,55,optimal,0.2546281000250019,0.0024332662493833524,684440.9831740718
2025-07-01 14:00:00,56,optimal,0.26729320001322776,0.002512331526269292,689366.8732677933
2025-07-01 14:15:00,57,optimal,0.23947020000196062,0.0020568175727693687,693996.8000491271
2025-07-01 14:30:00,58,optimal,0.25101969999377616,0.0033481731047182955,699823.2200139817
2025-07-01 14:45:00,59,optimal,0.2234210000024177,0.002348933891156923,704347.4980014676
2025-07-01 15:00:00,60,optimal,0.25086599998758174,0.002066641995990025,709058.6638660878
2025-07-01 15:15:00,61,optimal,0.23776069999439642,0.0033266391054964607,715001.4064771979
2025-07-01 15:30:00,62,optimal,0.21289970001089387,0.0019211419687397264,718934.4536445031
2025-07-01 15:45:00,63,optimal,0.22762600000714883,0.002351340406371753,724243.2492716128
2025-07-01 16:00:00,64,optimal,0.24550810002256185,0.002121318655031641,729497.506967945
2025-07-01 16:15:00,65,optimal,0.20494890000554733,0.0020671608977221438,734502.0929246438
2025-07-01 16:30:00,66,optimal,0.21357339998940006,0.001835023388428714,739442.2303989788
2025-07-01 16:45:00,67,optimal,0.2128472000185866,0.0017907656325257303,744504.5184898941
2025-07-01 17:00:00,68,optimal,0.213169900001958,0.001962341129822268,749788.3882351161
2025-07-01 17:15:00,69,optimal,0.20646950000082143,0.0020856718071604525,755045.7989557714
2025-07-01 17:30:00,70,optimal,0.23455110000213608,0.001779330326876755,759973.7152060489
2025-07-01 17:45:00,71,optimal,0.28809000001638196,0.0022619160311160053,765604.5030625967
2025-07-01 18:00:00,72,optimal,0.25574150000466034,0.001922350773197427,770435.5218806004
2025-07-01 18:15:00,73,optimal,0.25036519998684525,0.002075366981182015,775732.3259748125
2025-07-01 18:30:00,74,optimal,0.2510441000049468,0.0018591132127065018,780634.1753980721
2025-07-01 18:45:00,75,optimal,0.23335429999860935,0.001778428599153151,785714.8238702195
2025-07-01 19:00:00,76,optimal,0.23019319999730214,0.0019113921406996482,790873.0620641449
2025-07-01 19:15:00,77,optimal,0.22446920000948012,0.001928585663177503,795976.6075540815
2025-07-01 19:30:00,78,optimal,0.2546379999839701,0.0017044926823600586,800694.9160092482
2025-07-01 19:45:00,79,optimal,0.24147410001023673,0.0018608506399984852,805752.9566746248
2025-07-01 20:00:00,80,optimal,0.20673460001125932,0.0019385416348002003,810679.2979490844
2025-07-01 20:15:00,81,optimal,0.22913409999455325,0.0020948772821145524,815722.6346761937
2025-07-01 20:30:00,82,optimal,0.25135059998137876,0.001814286194103768,820435.4214394639
2025-07-01 20:45:00,83,optimal,0.22120669999276288,0.00192847802721276,825296.6412642248
2025-07-01 21:00:00,84,optimal,0.23139259999152273,0.0018309267053859748,830134.8445737744
2025-07-01 21:15:00,85,optimal,0.19023249999736436,0.0019186641120465104,834949.6659133337
2025-07-01 21:30:00,86,optimal,0.2043441999994684,0.0019817503237164664,839758.8877207983
2025-07-01 21:45:00,87,optimal,0.20943260000785813,0.0018426065916347873,844432.7561983806
2025-07-01 22:00:00,88,optimal,0.2117417999834288,0.0018495118514703394,849124.7031451085
2025-07-01 22:15:00,89,optimal,0.2092947000055574,0.0018687556061866351,853813.9626351901
2025-07-01 22:30:00,90,optimal,0.23446680000051856,0.0020146796071570773,858618.6256062072
2025-07-01 22:45:00,91,optimal,0.22579620001488365,0.0017981011990373535,863056.290789951
2025-07-01 23:00:00,92,optimal,0.286535899998853,0.0018610489341692362,867710.749236829
2025-07-01 23:15:00,93,optimal,0.3519277999876067,0.002071135443332971,872495.9416874786
2025-07-01 23:30:00,94,optimal,0.22177269999519922,0.0017342247865603068,876743.489520157
2025-07-01 23:45:00,95,optimal,0.21703770000021905,0.0019126102634199405,881495.1747715848
