case_id,controller,steps,cost_total,whole_facility_energy_cost,plant_energy_cost,grid_import_kwh,plant_energy_kwh,pv_used_kwh,pv_spill_kwh,peak_grid_kw,peak_slack_max_kw,peak_slack_kwh,soc_initial,soc_target,soc_final,terminal_soc_abs_error,soc_delta,soc_min,soc_max,soc_violation_count,TES_charge_kwh_th,TES_discharge_kwh_th,TES_charge_weighted_avg_price,TES_discharge_weighted_avg_price,TES_arbitrage_spread,solver_time_avg_s,solver_time_p95_s,solver_status,mode_integrality,strict_success,fallback_reason,mode_fractionality_max,solver_message,max_signed_du,signed_valve_violation_count,grid_balance_violation_count,plant_tracking_error_abs_max_kw_th,scenario,spread_gamma,critical_peak_uplift
flat_mpc_no_tes,mpc_no_tes,96,39092.38632,39092.38632,808.34112,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.00842580001335591,0.00842580001335591,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,flat,0.0,0.0
flat_paper_like_mpc_tes,paper_like_mpc_tes,96,38960.65787060128,38960.65787060128,676.6126706012826,418931.8050602288,7275.405060228845,20343.6,0.0,18950.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.14999999999999997,0.5,0,34630.60508219817,34443.58079466765,0.093,0.09300000000000001,1.3877787807814457e-17,0.17066679999697953,0.17066679999697953,optimal,strict,True,,7.883338047991195e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5183177826523624,55,0,0.0,flat,0.0,0.0
base_mpc_no_tes,mpc_no_tes,96,39049.6711420425,39049.6711420425,815.5133980425037,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.006422500009648502,0.006422500009648502,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,base,1.0,0.0
base_paper_like_mpc_tes,paper_like_mpc_tes,96,38676.386538361956,38676.386538361956,442.22879436194967,418980.0138047532,7323.613804753211,20343.6,0.0,18945.52965776028,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,34623.511971304964,34232.45002881916,0.0599923063327619,0.11099866551393014,0.05100635918116825,0.050955999991856515,0.050955999991856515,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5071529003975634,18,0,0.0,base,1.0,0.0
base_cp20_mpc_no_tes,mpc_no_tes,96,39558.14199667602,39558.14199667602,826.7562366760233,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.00636950001353398,0.00636950001353398,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,base_cp20,1.0,0.2
base_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,39180.986283634,39180.986283634,449.60052363400666,418982.0750378973,7325.675037897316,20343.6,0.0,18945.52965776028,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,34686.69005309242,34279.26911739944,0.06102676505512386,0.11241638482300602,0.05138961976788216,0.06917849997989833,0.06917849997989833,optimal,strict,True,,1.5543122344752192e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4992,22,0,0.0,base_cp20,1.0,0.2
high_spread_mpc_no_tes,mpc_no_tes,96,40517.532791794074,40517.532791794074,852.601763794074,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.006279300025198609,0.006279300025198609,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,high_spread,2.0,0.0
high_spread_paper_like_mpc_tes,paper_like_mpc_tes,96,39909.24947103085,39909.24947103085,244.31844303085535,419385.6230182392,7729.2230182392395,20343.6,0.0,18945.52965776028,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,32284.680266452226,31888.783296299523,0.033400903162705026,0.1397832759867113,0.10638237282400628,0.008462600002530962,0.008462600002530962,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5071529003975634,12,0,0.0,high_spread,2.0,0.0
high_spread_cp20_mpc_no_tes,mpc_no_tes,96,40903.85314465406,40903.85314465406,861.0486542540598,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.00646430003689602,0.00646430003689602,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,high_spread_cp20,2.0,0.2
high_spread_cp20_paper_like_mpc_tes,paper_like_mpc_tes,96,40289.57615414121,40289.57615414121,246.7716637412068,419387.8726390131,7731.472639013149,20343.6,0.0,18948.015797911517,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,32727.872740034472,32314.12163675551,0.034277600063492224,0.14030964258857653,0.1060320425250843,0.012058199965395033,0.012058199965395033,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.5144399132748552,16,0,0.0,high_spread_cp20,2.0,0.2
representative_direct_no_tes,direct_no_tes,96,39558.14199667602,39558.14199667602,826.7562366760233,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.00010090001160278916,0.00010090001160278916,direct_no_tes,fixed,True,,0.0,,0.0,0,0,0.0,representative_base_cp20,1.0,0.2
representative_mpc_no_tes,mpc_no_tes,96,39558.14199667602,39558.14199667602,826.7562366760233,420348.24,8691.84,20343.6,0.0,18383.9328,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.006334099976811558,0.006334099976811558,optimal,strict,True,,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0,0,0.0,representative_base_cp20,1.0,0.2
representative_storage_priority_tes,storage_priority_tes,96,39272.07566877456,39272.07566877456,540.6899087745512,419096.94719343295,7440.547193433007,20343.6,0.0,18940.0464,0.0,0.0,0.5,0.5,0.15,0.35,-0.35,0.15,0.849594530547207,0,6548.152746165608,12371.905179236972,0.04207378713806721,0.1545709835758428,0.1124971964377756,0.000304899993352592,0.000304899993352592,storage_priority,fixed,True,,0.0,,0.6184899993777471,6,0,0.0,representative_base_cp20,1.0,0.2
representative_storage_priority_neutral_tes,storage_priority_neutral_tes,96,39319.12369588691,39319.12369588691,587.7379358869097,419908.16166629497,8251.761666295039,20343.6,0.0,18940.0464,0.0,0.0,0.5,0.5,0.49999999999999983,1.6653345369377348e-16,-1.6653345369377348e-16,0.48931971683015135,0.8500000099999994,0,12986.362848245204,12371.905179236972,0.04996800358552125,0.1545709835758428,0.10460297999032156,0.0002737000468187034,0.0002737000468187034,storage_priority_neutral,fixed,True,,0.0,,1.0,9,0,0.0,representative_base_cp20,1.0,0.2
representative_paper_like_mpc_tes,paper_like_mpc_tes,96,39180.986283634,39180.986283634,449.60052363400666,418982.0750378973,7325.675037897316,20343.6,0.0,18945.52965776028,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.15,0.85,0,34686.69005309242,34279.26911739944,0.06102676505512386,0.11241638482300602,0.05138961976788216,0.07359869999345392,0.07359869999345392,optimal,strict,True,,1.5543122344752192e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4992,22,0,0.0,representative_base_cp20,1.0,0.2
